DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON,year,hour,crime_severity
221912973,2022-08-08,2022-08-08,1543,19,Mission,1983,2,901,VIOLATION OF RESTRAINING ORDER,0906 2038,25,F,H,501.0,SINGLE FAMILY DWELLING,0.0,Unknown,AO,Adult Other,901.0,0.0,0.0,0.0,8500    COLUMBUS                     AV,Unknown,34.2246,-118.4654,2022,15,Low
241605247,2024-02-11,2024-02-10,2100,16,Foothill,1667,1,510,VEHICLE - STOLEN,Unknown,0,X,X,108.0,PARKING LOT,0.0,Unknown,IC,Invest Cont,510.0,0.0,0.0,0.0,10800    ROYCROFT                     ST,Unknown,34.2399,-118.3665,2024,21,Low
201713138,2020-09-11,2020-09-11,1910,17,Devonshire,1795,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1300 0329 1402,58,M,W,101.0,STREET,0.0,Unknown,AA,Adult Arrest,740.0,998.0,0.0,0.0,ROSCOE,BALBOA,34.2212,-118.5026,2020,19,Low
200316418,2020-08-27,2020-08-27,1330,3,Southwest,317,1,210,ROBBERY,0344 1218 0416 1822,60,F,B,101.0,STREET,312.0,PIPE/METAL PIPE,IC,Invest Cont,210.0,0.0,0.0,0.0,1500 W  ADAMS                        BL,Unknown,34.0349,-118.2959,2020,13,Moderate
221604743,2022-01-25,2022-01-25,1400,16,Foothill,1641,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,48,F,H,501.0,SINGLE FAMILY DWELLING,0.0,Unknown,IC,Invest Cont,745.0,0.0,0.0,0.0,13700    JOUETT                       ST,Unknown,34.2554,-118.4314,2022,14,Low
230908155,2023-04-14,2023-04-13,2125,9,Van Nuys,932,2,624,BATTERY - SIMPLE ASSAULT,0419,30,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,0.0,0.0,0.0,14700    ERWIN                        ST,Unknown,34.1839,-118.4605,2023,21,Moderate
241909298,2024-06-04,2024-05-13,1700,19,Mission,1961,2,624,BATTERY - SIMPLE ASSAULT,0416 0361 0913 0603,15,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JO,Juv Other,624.0,0.0,0.0,0.0,9200 N  SEPULVEDA                    BL,Unknown,34.2377,-118.4677,2024,17,Moderate
210109258,2021-04-22,2021-04-22,1330,1,Central,163,2,624,BATTERY - SIMPLE ASSAULT,1822 0416 0605,45,F,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,0.0,0.0,0.0,8TH,BROADWAY,34.0437,-118.2547,2021,13,Moderate
231222309,2023-10-31,2023-10-30,1134,12,77th Street,1239,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344 0325,0,X,X,405.0,CLOTHING STORE,0.0,Unknown,IC,Invest Cont,440.0,0.0,0.0,0.0,5800 S  VERMONT                      AV,Unknown,33.9856,-118.2915,2023,11,Low
200115267,2020-07-23,2020-07-16,1000,1,Central,182,1,330,BURGLARY FROM VEHICLE,0329 0344 1612 1402 1822 1300 1403,0,M,W,123.0,PARKING UNDERGROUND/BUILDING,0.0,Unknown,IC,Invest Cont,330.0,998.0,0.0,0.0,1200 S  FIGUEROA                     ST,Unknown,34.0416,-118.2671,2020,10,Moderate
241805875,2024-02-09,2024-02-09,130,18,Southeast,1823,2,902,VIOLATION OF TEMPORARY RESTRAINING ORDER,2038,28,F,H,501.0,SINGLE FAMILY DWELLING,0.0,Unknown,IC,Invest Cont,902.0,0.0,0.0,0.0,400 E  99TH                         ST,Unknown,33.9465,-118.2674,2024,1,Low
231717730,2023-10-29,2023-10-29,2245,17,Devonshire,1787,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1501 1906 0913 1814 2000,45,M,F,710.0,OTHER PREMISE,0.0,Unknown,IC,Invest Cont,956.0,0.0,0.0,0.0,17700    HALSTED                      ST,Unknown,34.245,-118.5199,2023,22,Low
212009260,2021-05-17,2021-05-05,1,20,Olympic,2001,2,649,DOCUMENT FORGERY / STOLEN FELONY,1822 0924,53,F,W,501.0,SINGLE FAMILY DWELLING,0.0,Unknown,IC,Invest Cont,649.0,0.0,0.0,0.0,300 N  RIDGEWOOD                    PL,Unknown,34.0762,-118.3146,2021,0,Low
210509917,2021-06-04,2021-06-04,1110,5,Harbor,504,2,624,BATTERY - SIMPLE ASSAULT,1822 0408 0444 0448 1309,20,F,H,210.0,RESTAURANT/FAST FOOD,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,0.0,0.0,0.0,1300 W  190TH                        ST,Unknown,33.8583,-118.2994,2021,11,Moderate
230904131,2023-01-05,2022-09-25,410,9,Van Nuys,971,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0421 0913 0431,41,F,W,101.0,STREET,512.0,MACE/PEPPER SPRAY,IC,Invest Cont,230.0,0.0,0.0,0.0,15300    VENTURA                      BL,Unknown,34.1564,-118.463,2022,4,Moderate
220113110,2022-05-26,2022-05-26,1140,1,Central,171,1,510,VEHICLE - STOLEN,Unknown,0,X,X,101.0,STREET,0.0,Unknown,IC,Invest Cont,510.0,0.0,0.0,0.0,900    GEORGIA                      ST,Unknown,34.0475,-118.2657,2022,11,Low
231708230,2023-04-15,2023-04-14,1600,17,Devonshire,1714,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1202,83,F,A,121.0,YARD (RESIDENTIAL/BUSINESS),0.0,Unknown,IC,Invest Cont,745.0,0.0,0.0,0.0,18500    BRASILIA                     DR,Unknown,34.2864,-118.5398,2023,16,Low
221608822,2022-05-27,2022-05-26,1745,16,Foothill,1601,1,310,BURGLARY,0358 0329 1300,0,X,X,203.0,OTHER BUSINESS,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310.0,740.0,0.0,0.0,12600    FOOTHILL                     BL,Unknown,34.2884,-118.4098,2022,17,Moderate
201511241,2020-06-14,2020-06-13,1600,15,N Hollywood,1555,1,510,VEHICLE - STOLEN,Unknown,0,X,X,108.0,PARKING LOT,0.0,Unknown,IC,Invest Cont,510.0,0.0,0.0,0.0,5000    BAKMAN                       AV,Unknown,34.1608,-118.3774,2020,16,Low
211010944,2021-08-05,2021-06-17,2125,10,West Valley,1077,2,354,THEFT OF IDENTITY,0377 1822,58,M,W,108.0,PARKING LOT,0.0,Unknown,AA,Adult Arrest,354.0,0.0,0.0,0.0,17400    VENTURA                      BL,Unknown,34.1611,-118.5116,2021,21,Low
231301184,2023-12-15,2023-12-14,2050,13,Newton,1385,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0334 1402 0416,32,F,H,203.0,OTHER BUSINESS,500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,230.0,998.0,0.0,0.0,5800 S  CENTRAL                      AV,Unknown,33.9857,-118.2628,2023,20,Moderate
220909562,2022-05-24,2022-05-20,1136,9,Van Nuys,905,2,354,THEFT OF IDENTITY,1822 0922,28,F,W,501.0,SINGLE FAMILY DWELLING,0.0,Unknown,IC,Invest Cont,354.0,0.0,0.0,0.0,7500    VAN NUYS                     BL,Unknown,34.2069,-118.4488,2022,11,Low
221305937,2022-02-07,2022-02-07,1930,13,Newton,1362,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329 1309,45,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",0.0,Unknown,IC,Invest Cont,740.0,0.0,0.0,0.0,48TH                         ST,SAN PEDRO                    ST,33.9993,-118.2696,2022,19,Low
241410021,2024-05-31,2024-05-31,2042,14,Pacific,1443,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,25,F,W,710.0,OTHER PREMISE,0.0,Unknown,IC,Invest Cont,440.0,0.0,0.0,0.0,2700    ABBOT KINNEY                 BL,Unknown,33.9884,-118.4546,2024,20,Low
241410384,2024-06-16,2024-06-16,1430,14,Pacific,1455,1,510,VEHICLE - STOLEN,Unknown,0,X,X,101.0,STREET,0.0,Unknown,IC,Invest Cont,510.0,0.0,0.0,0.0,4100    CHASE                        AV,Unknown,33.9954,-118.43,2024,14,Low
241004011,2023-12-31,2023-12-31,2023,10,West Valley,1067,1,251,SHOTS FIRED AT INHABITED DWELLING,1822 1100,88,F,W,501.0,SINGLE FAMILY DWELLING,109.0,SEMI-AUTOMATIC PISTOL,AO,Adult Other,251.0,0.0,0.0,0.0,5200    ENCINO                       AV,Unknown,34.1654,-118.5142,2023,20,Low
211010974,2021-08-04,2021-08-04,1630,10,West Valley,1001,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1822 2002 0325,0,M,W,202.0,LIQUOR STORE,0.0,Unknown,AO,Adult Other,442.0,0.0,0.0,0.0,19200    SATICOY                      ST,Unknown,34.2143,-118.5534,2021,16,Low
200116513,2020-08-17,2020-08-17,300,1,Central,162,1,210,ROBBERY,0344 1814 0417 2000 0913,24,F,B,503.0,HOTEL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,210.0,0.0,0.0,0.0,700 S  HOPE                         ST,Unknown,34.0466,-118.259,2020,3,Moderate
240610821,2024-07-26,2024-07-26,1221,6,Hollywood,645,1,352,PICKPOCKET,1822 0344 1501,36,F,W,116.0,OTHER/OUTSIDE,0.0,Unknown,IC,Invest Cont,352.0,0.0,0.0,0.0,7000    HOLLYWOOD                    BL,Unknown,34.1015,-118.3417,2024,12,Low
200114244,2020-07-03,2020-07-02,930,1,Central,142,1,220,ATTEMPTED ROBBERY,1402 0917 0305 0416 0447 0329 1822 2003 0356 1414,26,M,H,102.0,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,220.0,998.0,0.0,0.0,300 S  FIGUEROA                     ST,Unknown,34.0548,-118.2548,2020,9,Moderate
210812024,2021-07-23,2021-07-22,2300,8,West LA,882,1,310,BURGLARY,1608 1607 1822,0,X,X,203.0,OTHER BUSINESS,0.0,Unknown,IC,Invest Cont,310.0,0.0,0.0,0.0,2000    SAWTELLE                     BL,Unknown,34.0396,-118.4425,2021,23,Moderate
211500547,2021-01-24,2021-01-24,2150,15,N Hollywood,1525,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,1276 0408 0444 0447 0319 0913 1402 2000 1814 0416,28,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236.0,0.0,0.0,0.0,11800    VICTORY                      BL,Unknown,34.1867,-118.3907,2021,21,Moderate
241512304,2024-07-26,2024-07-24,1200,15,N Hollywood,1503,1,310,BURGLARY,1402 1309 0358 0344,69,F,W,501.0,SINGLE FAMILY DWELLING,0.0,Unknown,AA,Adult Arrest,310.0,998.0,0.0,0.0,12200    DEHOUGNE                     ST,Unknown,34.1958,-118.3987,2024,12,Moderate
212112819,2021-08-18,2021-08-05,1245,21,Topanga,2196,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0394,48,F,W,104.0,DRIVEWAY,0.0,Unknown,IC,Invest Cont,440.0,0.0,0.0,0.0,4300    SALTILLO                     ST,Unknown,34.1478,-118.5934,2021,12,Low
241908821,2024-05-11,2024-05-11,305,19,Mission,1905,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1402,48,M,X,247.0,CAR WASH,0.0,Unknown,IC,Invest Cont,740.0,998.0,0.0,0.0,13800    FOOTHILL                     BL,Unknown,34.3155,-118.4343,2024,3,Low
230917709,2023-12-20,2023-12-20,800,9,Van Nuys,941,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),Unknown,0,X,X,101.0,STREET,0.0,Unknown,IC,Invest Cont,420.0,0.0,0.0,0.0,5900 N  SEPULVEDA                    BL,Unknown,34.1778,-118.4662,2023,8,Low
230204690,2023-01-18,2023-01-10,1430,2,Rampart,291,1,310,BURGLARY,1822 0314,66,M,A,501.0,SINGLE FAMILY DWELLING,0.0,Unknown,AA,Adult Arrest,310.0,0.0,0.0,0.0,1400    ALVARADO                     TR,Unknown,34.045,-118.2822,2023,14,Moderate
232007422,2023-03-25,2023-03-24,1600,20,Olympic,2049,1,210,ROBBERY,1251 1259 0355 0344 0906 0432 1822 1309 0216 0352,17,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,0.0,0.0,0.0,WESTMORELAND                 AV,JAMES M WOOD,34.0559,-118.2891,2023,16,Moderate
231313702,2023-07-10,2023-07-09,1720,13,Newton,1324,1,510,VEHICLE - STOLEN,Unknown,0,X,X,707.0,GARAGE/CARPORT,0.0,Unknown,AA,Adult Arrest,510.0,0.0,0.0,0.0,1300 E  21ST                         ST,Unknown,34.0224,-118.2524,2023,17,Low
241408675,2024-04-16,2024-04-09,1900,14,Pacific,1406,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1501,33,M,H,124.0,BUS STOP,0.0,Unknown,IC,Invest Cont,440.0,0.0,0.0,0.0,3600    KEYSTONE                     AV,Unknown,34.0238,-118.4095,2024,19,Low
200815219,2020-10-14,2020-05-01,1,8,West LA,882,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822 1202 1606,62,M,W,707.0,GARAGE/CARPORT,0.0,Unknown,IC,Invest Cont,341.0,0.0,0.0,0.0,11300 W  OLYMPIC                      BL,Unknown,34.0378,-118.4419,2020,0,Low
200312387,2020-06-07,2020-06-05,2140,3,Southwest,376,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1300 1606 0344 0385,29,F,B,116.0,OTHER/OUTSIDE,0.0,Unknown,IC,Invest Cont,420.0,0.0,0.0,0.0,3800    DENKER                       AV,Unknown,34.0174,-118.3045,2020,21,Low
200615688,2020-09-21,2020-09-17,815,6,Hollywood,639,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1300 0329 0344 0385,34,M,W,101.0,STREET,0.0,Unknown,IC,Invest Cont,331.0,0.0,0.0,0.0,HARVARD,LOMA LINDA,34.103,-118.305,2020,8,Low
222009114,2022-04-26,2022-04-26,1830,20,Olympic,2027,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 2000 1814 0416 0432,22,F,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,0.0,0.0,0.0,6TH                          ST,ALEXANDRIA                   AV,34.0636,-118.2979,2022,18,Moderate
200414700,2020-11-07,2020-11-07,2000,4,Hollenbeck,449,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 1243 0448 0443 0913,68,M,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,0.0,0.0,0.0,2400    WABASH                       AV,Unknown,34.0527,-118.1969,2020,20,Moderate
200400657,2020-03-03,2020-03-03,2040,4,Hollenbeck,464,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 1814 2000 0400 0444,31,F,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,0.0,0.0,0.0,200 N  CHICAGO                      ST,Unknown,34.0462,-118.2114,2020,20,Moderate
221414782,2022-08-07,2022-08-07,2055,14,Pacific,1494,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421,22,F,O,212.0,TRANSPORTATION FACILITY (AIRPORT),511.0,VERBAL THREAT,AA,Adult Arrest,930.0,0.0,0.0,0.0,100    WORLD WAY,Unknown,33.9455,-118.4004,2022,20,Low
200915596,2020-10-06,2020-10-06,330,9,Van Nuys,915,1,330,BURGLARY FROM VEHICLE,0344 1202 1601 1822,66,F,W,108.0,PARKING LOT,0.0,Unknown,IC,Invest Cont,330.0,0.0,0.0,0.0,14400    VANOWEN                      ST,Unknown,34.1976,-118.4443,2020,3,Moderate
220514864,2022-10-14,2022-08-09,1535,5,Harbor,515,2,354,THEFT OF IDENTITY,0377,51,F,H,501.0,SINGLE FAMILY DWELLING,0.0,Unknown,IC,Invest Cont,354.0,0.0,0.0,0.0,1500 N  MARINE                       AV,Unknown,33.7933,-118.2648,2022,15,Low
221218552,2022-08-29,2022-08-28,1815,12,77th Street,1265,1,510,VEHICLE - STOLEN,Unknown,0,X,X,101.0,STREET,0.0,Unknown,AA,Adult Arrest,510.0,998.0,0.0,0.0,VERMONT,MANCHESTER,33.96,-118.2918,2022,18,Low
211911034,2021-07-18,2021-07-18,1100,19,Mission,1977,1,510,VEHICLE - STOLEN,Unknown,0,X,X,101.0,STREET,0.0,Unknown,IC,Invest Cont,510.0,0.0,0.0,0.0,9000    NAGLE                        AV,Unknown,34.2338,-118.4302,2021,11,Low
211505566,2021-02-10,2021-02-10,2300,15,N Hollywood,1535,2,888,TRESPASSING,2004,0,M,O,210.0,RESTAURANT/FAST FOOD,0.0,Unknown,IC,Invest Cont,888.0,0.0,0.0,0.0,5800    LANKERSHIM                   BL,Unknown,34.1758,-118.3812,2021,23,Low
240809119,2024-06-19,2024-06-16,900,8,West LA,832,2,354,THEFT OF IDENTITY,Unknown,26,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.0,Unknown,IC,Invest Cont,354.0,0.0,0.0,0.0,11600    MAYFIELD                     AV,Unknown,34.0534,-118.4615,2024,9,Low
201016319,2020-12-22,2020-12-22,1300,10,West Valley,1045,2,903,CONTEMPT OF COURT,1300 0913 2038 1202 0329,70,F,W,104.0,DRIVEWAY,0.0,Unknown,AO,Adult Other,903.0,0.0,0.0,0.0,17800    MIRANDA                      ST,Unknown,34.1746,-118.5203,2020,13,Low
241708536,2024-04-19,2024-03-27,1100,17,Devonshire,1761,1,310,BURGLARY,1607 1202 0329 0321 0344 0352,78,F,O,221.0,PUBLIC STORAGE,0.0,Unknown,IC,Invest Cont,310.0,0.0,0.0,0.0,9300    TOPANGA CANYON               BL,Unknown,34.2391,-118.6061,2024,11,Moderate
221409593,2022-04-21,2022-04-21,1130,14,Pacific,1412,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0421 0334 1822 2004 1218,58,M,W,117.0,BEACH,200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,230.0,0.0,0.0,0.0,00    ROSE                         AV,Unknown,33.9946,-118.4805,2022,11,Moderate
221212741,2022-05-30,2022-05-30,200,12,77th Street,1249,1,210,ROBBERY,1822 0342 0344 0302 0400 0416 0337 0355 0916,57,M,H,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,210.0,0.0,0.0,0.0,600 W  66TH                         ST,Unknown,33.9795,-118.2838,2022,2,Moderate
210619705,2021-11-29,2021-11-29,500,6,Hollywood,647,1,510,VEHICLE - STOLEN,Unknown,0,X,X,101.0,STREET,0.0,Unknown,IC,Invest Cont,510.0,0.0,0.0,0.0,EL CENTRO,SELMA,34.0998,-118.3237,2021,5,Low
220113311,2022-05-28,2022-05-27,1700,1,Central,192,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0416 1259 1206 1822,15,F,H,710.0,OTHER PREMISE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,627.0,0.0,0.0,0.0,1400 S  GRAND                        AV,Unknown,34.0372,-118.2654,2022,17,Moderate
240810939,2024-09-21,2024-09-21,1,8,West LA,835,1,330,BURGLARY FROM VEHICLE,0344 1822,28,M,W,504.0,OTHER RESIDENCE,0.0,Unknown,IC,Invest Cont,330.0,0.0,0.0,0.0,1800    CAMDEN                       AV,Unknown,34.0467,-118.4409,2024,0,Moderate
220512518,2022-08-14,2022-08-14,1,5,Harbor,531,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1300,33,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",0.0,Unknown,IC,Invest Cont,745.0,0.0,0.0,0.0,1600    259TH                        ST,Unknown,33.7882,-118.3043,2022,0,Low
221009168,2022-05-13,2022-05-13,2315,10,West Valley,1027,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1814 0400 0416 1414,37,F,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,0.0,0.0,0.0,7100    WHITE OAK                    AV,Unknown,34.1997,-118.5186,2022,23,Moderate
211411111,2021-05-07,2021-05-01,945,14,Pacific,1454,1,480,BIKE - STOLEN,0344 1606,24,M,W,707.0,GARAGE/CARPORT,0.0,Unknown,IC,Invest Cont,480.0,0.0,0.0,0.0,MARINA POINTE                DR,LINCOLN,33.9832,-118.4327,2021,9,Low
